IdCliente,Segmento,NivelRiesgo,ProbRespuesta,Recompensa,Costo,ValorEsperado,Eficiencia,GastoAcumulado,Asignada
900665,Alto,Bajo,0.6416,baja,5.0,1.3,0.261,640.0,True
900735,Alto,Bajo,0.6401,baja,5.0,1.29,0.259,645.0,True
900619,Alto,Bajo,0.6224,baja,5.0,1.29,0.257,650.0,True
900464,VIP,Medio,0.6496,baja,5.0,1.28,0.256,655.0,True
900336,Alto,Bajo,0.6779,baja,5.0,1.27,0.254,660.0,True
900405,Alto,Bajo,0.6224,baja,5.0,1.27,0.253,665.0,True
900731,Alto,Medio,0.6888,baja,5.0,1.26,0.252,670.0,True
900164,Alto,Medio,0.6795,baja,5.0,1.26,0.251,675.0,True
900414,VIP,Medio,0.556,baja,5.0,1.22,0.245,680.0,True
900455,Alto,Bajo,0.6224,baja,5.0,1.22,0.243,685.0,True
900261,VIP,Bajo,0.6224,baja,5.0,1.21,0.243,690.0,True
900040,Alto,Bajo,0.6534,baja,5.0,1.18,0.237,695.0,True
900260,Alto,Bajo,0.5888,baja,5.0,1.16,0.233,700.0,True
900373,Alto,Medio,0.6401,baja,5.0,1.15,0.23,705.0,True
900504,Alto,Medio,0.6523,baja,5.0,1.11,0.223,710.0,True
900490,Alto,Bajo,0.6224,baja,5.0,1.08,0.215,715.0,True
900358,Alto,Bajo,0.6888,baja,5.0,1.02,0.205,720.0,True
900407,Alto,Medio,0.556,baja,5.0,1.01,0.202,725.0,True
900016,VIP,Medio,0.6224,baja,5.0,1.0,0.2,730.0,True
900579,VIP,Medio,0.4447,baja,5.0,1.0,0.2,735.0,True
900804,VIP,Medio,0.6224,baja,5.0,0.88,0.177,740.0,True
900101,Alto,Bajo,0.6224,baja,5.0,0.87,0.174,745.0,True
900222,Alto,Bajo,0.708,baja,5.0,0.83,0.167,750.0,True
900884,Alto,Medio,0.6224,baja,5.0,0.8,0.159,755.0,True
900173,Alto,Medio,0.4265,baja,5.0,0.77,0.153,760.0,True
900372,Alto,Bajo,0.5378,baja,5.0,0.76,0.151,765.0,True
900415,Alto,Bajo,0.6401,baja,5.0,0.67,0.135,770.0,True
900079,VIP,Bajo,0.6888,baja,5.0,0.66,0.133,775.0,True
900182,VIP,Medio,0.6401,baja,5.0,0.65,0.13,780.0,True
900262,VIP,Bajo,0.6795,baja,5.0,0.64,0.127,785.0,True
900793,Alto,Bajo,0.5157,baja,5.0,0.63,0.126,790.0,True
900786,Alto,Medio,0.6224,baja,5.0,0.63,0.126,795.0,True
900426,VIP,Bajo,0.6795,baja,5.0,0.62,0.124,800.0,True
900041,Alto,Bajo,0.6401,baja,5.0,0.58,0.116,805.0,True
900245,Alto,Bajo,0.6224,baja,5.0,0.53,0.106,810.0,True
900223,Alto,Bajo,0.5662,baja,5.0,0.52,0.104,815.0,True
900236,Alto,Medio,0.6224,baja,5.0,0.49,0.099,820.0,True
900323,Alto,Bajo,0.6618,baja,5.0,0.49,0.097,825.0,True
900614,VIP,Medio,0.6888,baja,5.0,0.48,0.096,830.0,True
900871,Alto,Bajo,0.6224,baja,5.0,0.45,0.09,835.0,True
900386,Alto,Bajo,0.6004,baja,5.0,0.43,0.086,840.0,True
900538,Alto,Bajo,0.6401,baja,5.0,0.41,0.082,845.0,True
900118,Alto,Bajo,0.556,baja,5.0,0.39,0.077,850.0,True
900094,Alto,Bajo,0.5711,baja,5.0,0.3,0.06,855.0,True
900196,Alto,Bajo,0.6224,baja,5.0,0.28,0.056,860.0,True
900814,Alto,Bajo,0.6224,baja,5.0,0.25,0.051,865.0,True
900341,Alto,Medio,0.6346,baja,5.0,0.23,0.046,870.0,True
900574,VIP,Medio,0.6714,baja,5.0,0.19,0.037,875.0,True
900501,Alto,Bajo,0.6335,baja,5.0,0.16,0.032,880.0,True
900044,Alto,Bajo,0.6416,baja,5.0,0.12,0.024,885.0,True
900252,VIP,Bajo,0.6672,baja,5.0,0.06,0.011,890.0,True
900055,Alto,Bajo,0.6004,baja,5.0,0.03,0.007,895.0,True
900615,Medio,Bajo,0.6496,baja,5.0,0.03,0.006,900.0,True
900880,Alto,Bajo,0.6224,baja,5.0,0.03,0.006,905.0,True
